NO2,PM10,PM25,CO,SO2,OZONE,NOX,AQI,updatedAt,postalCode,lat,lng
25.33,39.18430777,46.88484609,1.173859697,7.937483944,16.75389499,85.35491126,128,"Aug 03, 2019 7:08:42",122002,28.472,77.0895
23.2069,42.37125467,46.09315965,1.088844304,7.63621503,15.98611254,76.94381062,125,"Aug 03, 2019 7:08:42",122002,28.4877,77.0869
25.5658,40.10134378,47.37588868,1.190756243,7.494930136,16.66560302,85.89069611,127,"Aug 03, 2019 7:08:42",122002,28.4879,77.0996
26.1171,44.16112683,47.44557262,1.221231507,8.76552106,13.45401586,88.58929923,128,"Aug 03, 2019 6:50:31",122002,28.472,77.0895
24.781,50.36651796,48.92573598,1.203293517,8.355863613,12.50980583,83.39199054,135,"Aug 03, 2019 6:50:31",122002,28.4877,77.0869
26.4723,45.94671262,48.23091302,1.258096403,8.163748176,13.47122763,89.23162085,136,"Aug 03, 2019 6:50:31",122002,28.4879,77.0996
25.394,57,24.79208212,1.214286562,3.465648855,6.433605722,84.61251733,82,"Aug 03, 2019 2:45:47",122002,28.472,77.0895
23.6239,57,25.22993213,1.154469527,3.465648855,6.108881479,77.2111302,81,"Aug 03, 2019 2:45:47",122002,28.4877,77.0869
25.7179,57,24.64533756,1.220916116,3.465648855,6.362336399,85.30237635,82,"Aug 03, 2019 2:45:47",122002,28.4879,77.0996
25.6888,26.36935278,26.32280869,1.200728739,6.340754091,8.724342616,85.51602214,83,"Aug 02, 2019 23:22:09",122002,28.472,77.0895
24.044,30.2088839,27.49015548,1.140653378,5.487727803,8.099716658,78.19730282,84,"Aug 02, 2019 23:22:09",122002,28.4877,77.0869
26.0491,27.47416827,26.77038275,1.204443342,5.08768743,8.651064637,85.98891778,83,"Aug 02, 2019 23:22:09",122002,28.4879,77.0996
26.5197,46.98766354,42.08584825,1.259523777,5.269279549,10.8412719,86.76886935,116,"Aug 02, 2019 15:22:09",122002,28.472,77.0895
25.7732,53.38454433,42.35097183,1.308423772,5.819756743,10.47706538,79.70357706,115,"Aug 02, 2019 15:22:09",122002,28.4877,77.0869
27.1603,48.82835001,42.89371015,1.29589354,6.077911861,10.64800829,87.69673269,115,"Aug 02, 2019 15:22:09",122002,28.4879,77.0996
26.386,45.02176688,32.74899888,1.278651409,6.984732824,10.53009436,86.88673312,93,"Aug 02, 2019 14:56:49",122002,28.472,77.0895
25.4514,52.01999894,34.90428251,1.343538024,6.984732824,10.40638403,80.22336773,95,"Aug 02, 2019 14:56:49",122002,28.4877,77.0869
26.9753,47.03549067,33.59932653,1.326120367,6.984732824,10.43693983,87.70392875,93,"Aug 02, 2019 14:56:49",122002,28.4879,77.0996
26.2542,63.11965289,61.39611343,1.25277519,12.74162937,21.99134704,90.87214665,155,"Aug 02, 2019 8:53:29",122002,28.472,77.0895
23.7602,66.06913748,58.33799075,1.225454323,11.5540495,22.36996969,81.32307306,153,"Aug 02, 2019 8:53:29",122002,28.4877,77.0869
26.3515,63.96835971,61.58845109,1.244913679,10.99711485,22.02540862,91.26506355,156,"Aug 02, 2019 8:53:29",122002,28.4879,77.0996
25.9728,49.46065065,52.90067144,1.218190813,8.026032266,28.36119935,86.88948028,147,"Aug 02, 2019 9:01:23",122002,28.472,77.0895
23.7595,65.36285465,52.21903358,1.181268254,7.746099678,28.62177361,78.3033943,144,"Aug 02, 2019 9:01:23",122002,28.4877,77.0869
26.1698,54.03647013,53.52632567,1.230542465,7.614820796,28.49345786,87.30825959,146,"Aug 02, 2019 9:01:23",122002,28.4879,77.0996
26.2171,60.60394297,63.30806141,1.211806952,8.840830379,33.28099379,89.37680817,153,"Aug 02, 2019 7:22:09",122002,28.472,77.0895
23.8953,70.70477327,60.67935794,1.165091301,8.239999457,33.0390776,80.37423352,156,"Aug 02, 2019 7:22:09",122002,28.4877,77.0869
26.3586,63.51043165,63.7001745,1.22086996,7.95823015,33.68141646,89.75471998,152,"Aug 02, 2019 7:22:09",122002,28.4879,77.0996
26.0697,44.20598663,46.07768434,1.1829629,6.296852137,26.8732314,86.8759709,124,"Aug 02, 2019 5:22:05",122002,28.472,77.0895
