NO2,PM10,PM25,CO,SO2,OZONE,NOX,AQI,updatedAt,postalCode,lat,lng
18.4717,78.38264901,52.22795958,0.5629970896,1.297709924,11.02649316,66.71562286,143,"Aug 03, 2019 7:08:42",110037,28.5255,77.1385
10.6383,92,53,0.8,5.954198473,6.45,15.7,146,"Aug 03, 2019 7:08:42",110037,28.5256,77.0796
19.5976,88.16185713,58.5385138,0.4837649189,5.954198473,8.824265471,82.27772117,149,"Aug 03, 2019 7:08:42",110037,28.5562,77.1
19.5976,88.16185713,58.5385138,0.4837649189,5.954198473,8.824265471,82.27772117,151,"Aug 03, 2019 7:08:42",110037,28.5562,77.1
NULL,35,19,NULL,2.213740458,13.95,NULL,66,"Aug 03, 2019 7:08:42",110037,28.4764,76.8058
10.6383,92,53,0.8,5.954198473,6.45,15.7,147,"Aug 03, 2019 7:08:42",110037,28.5342,77.0874
22.4975,85.76770648,58.00409428,0.4910257903,5.572519084,8.85195063,96.987106,155,"Aug 03, 2019 7:08:42",110037,28.5449,77.1281
22.1938,69.00180161,40.70354875,0.6542676144,1.641221374,5.036971671,63.6291059,113,"Aug 03, 2019 6:50:31",110037,28.5255,77.1385
22.8191,147,85,2.1,6.06870229,4.4,54.5,170,"Aug 03, 2019 6:50:31",110037,28.5256,77.0796
21.3177,90.10119342,51.5723193,0.827811898,6.06870229,6.951795516,78.08661903,144,"Aug 03, 2019 6:50:31",110037,28.5562,77.1
21.3177,90.10119342,51.5723193,0.827811898,6.06870229,6.951795516,78.08661903,146,"Aug 03, 2019 6:50:31",110037,28.5562,77.1
22.8191,147,85,2.1,6.06870229,4.4,54.5,168,"Aug 03, 2019 6:50:31",110037,28.5342,77.0874
20.9083,73.91737315,41.55994607,0.4938454677,7.022900763,7.352936488,80.1520488,114,"Aug 03, 2019 6:50:31",110037,28.5449,77.1281
19.6784,84.30059046,38.79868865,0.7113851893,2.061068702,8.604695212,44.28631709,111,"Aug 03, 2019 2:45:47",110037,28.5255,77.1385
16.8085,57,25,0.8,NULL,1.1,29.6,81,"Aug 03, 2019 2:45:47",110037,28.5256,77.0796
17.2709,99.39892327,44.00886278,0.7414755116,NULL,10.87472109,48.36007235,123,"Aug 03, 2019 2:45:47",110037,28.5562,77.1
17.2709,99.39892327,44.00886278,0.7414755116,NULL,10.87472109,48.36007235,124,"Aug 03, 2019 2:45:47",110037,28.5562,77.1
17.766,42,28,0.9,3.854961832,2.05,19.8,87,"Aug 03, 2019 2:45:47",110037,28.4764,76.8058
16.8085,57,25,0.8,NULL,1.1,29.6,82,"Aug 03, 2019 2:45:47",110037,28.5342,77.0874
17.5177,111.8904369,49.52855371,0.7415316091,5.381679389,16.01506828,52.40745671,136,"Aug 03, 2019 2:45:47",110037,28.5449,77.1281
20.4338,81.32809439,34.71221067,0.5191512262,1.946564885,5.063809594,71.34563346,98,"Aug 02, 2019 23:22:09",110037,28.5255,77.1385
19.4149,90,51,0.7,0.7251908397,0.3,25.1,137,"Aug 02, 2019 23:22:09",110037,28.5256,77.0796
21.6002,107.6893681,46.58441951,0.5184069183,0.7251908397,6.686250824,82.08847005,125,"Aug 02, 2019 23:22:09",110037,28.5562,77.1
21.6002,107.6893681,46.58441951,0.5184069183,0.7251908397,6.686250824,82.08847005,128,"Aug 02, 2019 23:22:09",110037,28.5562,77.1
20.1064,67,34,1,3.93129771,2.65,22.3,95,"Aug 02, 2019 23:22:09",110037,28.4764,76.8058
19.4149,90,51,0.7,0.7251908397,0.3,25.1,137,"Aug 02, 2019 23:22:09",110037,28.5342,77.0874
21.68,108.0486323,42.44283435,0.5057176762,5.419847328,9.107575018,94.2544591,113,"Aug 02, 2019 23:22:09",110037,28.5449,77.1281
23.6465,74.24269512,23.21934115,0.8882634915,2.251908397,14.91008494,44.47971638,75,"Aug 02, 2019 15:22:09",110037,28.5255,77.1385
37.3936,153,68,2.8,8.893129771,1.6,42,154,"Aug 02, 2019 15:22:09",110037,28.5256,77.0796
22.3541,101.0598147,32.13478568,1.264308699,8.893129771,6.431458458,48.41388949,89,"Aug 02, 2019 15:22:09",110037,28.5562,77.1
22.3541,101.0598147,32.13478568,1.264308699,8.893129771,6.431458458,48.41388949,92,"Aug 02, 2019 15:22:09",110037,28.5562,77.1
20.1596,72,47,1.3,3.702290076,14.15,21.4,128,"Aug 02, 2019 15:22:09",110037,28.4764,76.8058
37.3936,153,68,2.8,8.893129771,1.6,42,154,"Aug 02, 2019 15:22:09",110037,28.5342,77.0874
18.2172,84.10992492,21.63896112,0.8430891476,5.992366412,7.605489006,50.54910477,76,"Aug 02, 2019 15:22:09",110037,28.5449,77.1281
25.7127,71.28340265,20.26208491,0.7557973406,1.755725191,24.14482833,44.229078,72,"Aug 02, 2019 14:56:49",110037,28.5255,77.1385
33.883,161,79,3.3,6.984732824,6.6,43,159,"Aug 02, 2019 14:56:49",110037,28.5256,77.0796
21.2026,98.01963602,26.90009665,1.338408781,6.984732824,11.28955537,47.02857117,83,"Aug 02, 2019 14:56:49",110037,28.5562,77.1
21.2026,98.01963602,26.90009665,1.338408781,6.984732824,11.28955537,47.02857117,83,"Aug 02, 2019 14:56:49",110037,28.5562,77.1
33.883,161,79,3.3,6.984732824,6.6,43,161,"Aug 02, 2019 14:56:49",110037,28.5342,77.0874
18.0176,77.13053441,11.43480043,0.7743996953,5.229007634,11.79394193,48.06085548,65,"Aug 02, 2019 14:56:49",110037,28.5449,77.1281
16.2881,66.49886353,38.70515924,0.5207335446,1.984732824,20.5691575,45.4375,111,"Aug 02, 2019 8:53:29",110037,28.5255,77.1385
3.82979,112,36,0.8,4.923664122,26.8,5.6,105,"Aug 02, 2019 8:53:29",110037,28.5256,77.0796
13.0136,81.74210017,40.80381867,0.4273722968,4.923664122,19.32214223,34.96655065,114,"Aug 02, 2019 8:53:29",110037,28.5562,77.1
13.0136,81.74210017,40.80381867,0.4273722968,4.923664122,19.32214223,34.96655065,111,"Aug 02, 2019 8:53:29",110037,28.5562,77.1
7.39362,8,NULL,0.7,5,34.45,8.5,27,"Aug 02, 2019 8:53:29",110037,28.4764,76.8058
3.82979,112,36,0.8,4.923664122,26.8,5.6,105,"Aug 02, 2019 8:53:29",110037,28.5342,77.0874
16.628,76.90722376,43.73940665,0.4001212129,5.267175573,15.82703624,42.42391053,126,"Aug 02, 2019 8:53:29",110037,28.5449,77.1281
15.689,106.029763,62.39272609,0.2684112377,1.717557252,24.37960919,46.8360229,155,"Aug 02, 2019 9:01:23",110037,28.5255,77.1385
9.25532,313,64,1.2,6.183206107,34.8,12.1,183,"Aug 02, 2019 9:01:23",110037,28.5256,77.0796
16.6328,184.3339243,83.94996419,0.3749781338,6.183206107,26.33004876,57.13485196,167,"Aug 02, 2019 9:01:23",110037,28.5562,77.1
16.6328,184.3339243,83.94996419,0.3749781338,6.183206107,26.33004876,57.13485196,169,"Aug 02, 2019 9:01:23",110037,28.5562,77.1
9.25532,313,64,1.2,6.183206107,34.8,12.1,182,"Aug 02, 2019 9:01:23",110037,28.5342,77.0874
19.07,132.2217063,85.92394923,0.2113463725,4.923664122,21.86254349,66.88335046,163,"Aug 02, 2019 9:01:23",110037,28.5449,77.1281
12.846,70.29449042,36.32376405,0.2860920131,1.908396947,22.05549032,30.24084618,103,"Aug 02, 2019 7:22:09",110037,28.5255,77.1385
6.80851,228,48,1,4.885496183,42.35,9.2,133,"Aug 02, 2019 7:22:09",110037,28.5256,77.0796
13.9115,114.310504,44.96045297,0.4737366788,4.885496183,23.69067644,36.55840684,126,"Aug 02, 2019 7:22:09",110037,28.5562,77.1
13.9115,114.310504,44.96045297,0.4737366788,4.885496183,23.69067644,36.55840684,127,"Aug 02, 2019 7:22:09",110037,28.5562,77.1
9.20213,NULL,NULL,0.9,4.427480916,28.5,12.1,23,"Aug 02, 2019 7:22:09",110037,28.4764,76.8058
6.80851,228,48,1,4.885496183,42.35,9.2,133,"Aug 02, 2019 7:22:09",110037,28.5342,77.0874
17.5662,84.06375978,43.5411467,0.4276777056,5.801526718,16.31581345,44.2123239,126,"Aug 02, 2019 7:22:09",110037,28.5449,77.1281
17.042,105.6649814,62.91239455,0.7,1.259541985,18.53142662,68.30385982,152,"Aug 02, 2019 5:22:06",110037,28.5255,77.1385
10.6915,287,56,1,6.603053435,26.85,15,164,"Aug 02, 2019 5:22:06",110037,28.5256,77.0796
20.3085,179.4019148,77.16627679,1,6.603053435,14.64572571,88.2735533,165,"Aug 02, 2019 5:22:06",110037,28.5562,77.1
20.3085,179.4019148,77.16627679,1,6.603053435,14.64572571,88.2735533,166,"Aug 02, 2019 5:22:06",110037,28.5562,77.1
9.20213,69,34,0.8,3.702290076,31.95,10.7,96,"Aug 02, 2019 5:22:06",110037,28.4764,76.8058
10.6915,287,56,1,6.603053435,26.85,15,165,"Aug 02, 2019 5:22:06",110037,28.5342,77.0874
22.6502,141.0366974,78.09850183,1,5.076335878,10.25402258,102.8530112,159,"Aug 02, 2019 5:22:06",110037,28.5449,77.1281
15.317,84.73182644,43.43636902,0.5403929626,1.946564885,5.967089423,34.06133858,116,"Aug 02, 2019 1:22:19",110037,28.5255,77.1385
19.7872,136,39,1,6.717557252,2.75,28.8,112,"Aug 02, 2019 1:22:19",110037,28.5256,77.0796
17.2212,115.9616029,43.7251857,0.5658873756,6.717557252,8.535466837,40.95574389,123,"Aug 02, 2019 1:22:19",110037,28.5562,77.1
17.2212,115.9616029,43.7251857,0.5658873756,6.717557252,8.535466837,40.95574389,123,"Aug 02, 2019 1:22:19",110037,28.5562,77.1
13.2447,96,80,0.9,4.580152672,1.5,17.2,166,"Aug 02, 2019 1:22:19",110037,28.4764,76.8058
19.7872,136,39,1,6.717557252,2.75,28.8,111,"Aug 02, 2019 1:22:19",110037,28.5342,77.0874
16.1167,102.6563608,43.7292713,0.479787096,6.79389313,9.811234652,41.9903609,123,"Aug 02, 2019 1:22:19",110037,28.5449,77.1281
16.6569,79.07648692,26.31666701,0.4038250148,NULL,6.752770025,48.24832916,83,"Aug 01, 2019 22:51:52",110037,28.5255,77.1385
NULL,79,41,NULL,NULL,5.95,NULL,115,"Aug 01, 2019 22:51:52",110037,28.5256,77.0796
16.6569,92.23936549,31.55945527,0.4038250148,NULL,9.260457069,48.24832916,91,"Aug 01, 2019 22:51:52",110037,28.5562,77.1
16.6569,92.23936549,31.55945527,0.4038250148,NULL,9.260457069,48.24832916,90,"Aug 01, 2019 22:51:52",110037,28.5562,77.1
NULL,86,57,NULL,NULL,10.55,NULL,152,"Aug 01, 2019 22:51:52",110037,28.4764,76.8058
NULL,79,41,NULL,NULL,5.95,NULL,115,"Aug 01, 2019 22:51:52",110037,28.5342,77.0874
16.6569,92.76575914,27.70423633,0.4038250148,NULL,9.73042276,48.24832916,88,"Aug 01, 2019 22:51:52",110037,28.5449,77.1281
15.0502,89.90992837,34.14897037,0.4911826888,2.519083969,6.001169283,34.55390962,93,"Aug 01, 2019 22:22:24",110037,28.5255,77.1385
15.7979,70,51,0.4,5.801526718,2.95,20.4,135,"Aug 01, 2019 22:22:24",110037,28.5256,77.0796
16.4837,110.3004523,41.65283034,0.402235793,5.801526718,7.051059699,41.43542824,114,"Aug 01, 2019 22:22:24",110037,28.5562,77.1
16.4837,110.3004523,41.65283034,0.402235793,5.801526718,7.051059699,41.43542824,116,"Aug 01, 2019 22:22:24",110037,28.5562,77.1
14.3617,41,27,0.7,4.27480916,6.65,15.8,86,"Aug 01, 2019 22:22:24",110037,28.4764,76.8058
15.7979,70,51,0.4,5.801526718,2.95,20.4,136,"Aug 01, 2019 22:22:24",110037,28.5342,77.0874
16.5081,117.2437675,37.11631349,0.4609973639,6.79389313,8.033571174,45.30426237,104,"Aug 01, 2019 22:22:24",110037,28.5449,77.1281
19.4981,79.17187964,30.53949671,0.5313507801,2.404580153,10.36833477,39.78610648,89,"Aug 01, 2019 20:52:34",110037,28.5255,77.1385
20.8511,105,42,0.6,5.648854962,NULL,26.6,116,"Aug 01, 2019 20:52:34",110037,28.5256,77.0796
17.6799,104.574882,35.06825432,0.4486857004,5.648854962,10.36833477,41.80573707,95,"Aug 01, 2019 20:52:34",110037,28.5562,77.1
17.6799,104.574882,35.06825432,0.4486857004,5.648854962,10.36833477,41.80573707,96,"Aug 01, 2019 20:52:34",110037,28.5562,77.1
17.5,85,36,0.9,4.312977099,NULL,19.1,105,"Aug 01, 2019 20:52:34",110037,28.4764,76.8058
20.8511,105,42,0.6,5.648854962,NULL,26.6,113,"Aug 01, 2019 20:52:34",110037,28.5342,77.0874
17.0261,99.12529749,31.47734871,0.4769927184,3.969465649,10.36833477,44.59997737,88,"Aug 01, 2019 20:52:34",110037,28.5449,77.1281
18.6062,67.66026037,21.22290404,0.4001597279,1.832061069,14.03046375,35.65732646,72,"Aug 01, 2019 16:50:33",110037,28.5255,77.1385
22.6596,217,31,1.5,7.786259542,11.6,32.6,134,"Aug 01, 2019 16:50:33",110037,28.5256,77.0796
18.0134,120.4445287,22.73153735,0.5699087309,7.786259542,12.21552763,42.47177642,80,"Aug 01, 2019 16:50:33",110037,28.5562,77.1
18.0134,120.4445287,22.73153735,0.5699087309,7.786259542,12.21552763,42.47177642,82,"Aug 01, 2019 16:50:33",110037,28.5562,77.1
