NO2,PM10,PM25,CO,SO2,OZONE,NOX,AQI,updatedAt,postalCode,lat,lng
10.9523,110,18.20916277,0.7628306775,1.820034576,14.8,20.14291252,79,"Aug 03, 2019 7:08:42",560066,12.9558,77.7409
11.4997,110,19.05906638,0.7799064709,1.790021021,14.8,19.92209303,81,"Aug 03, 2019 7:08:42",560066,12.965,77.7595
11.3529,110,18.8311533,0.7753273674,1.798069559,14.8,19.98130874,82,"Aug 03, 2019 7:08:42",560066,12.9698,77.7499
10.7393,110,17.87847211,0.7561866237,1.831712608,14.8,20.22883161,79,"Aug 03, 2019 7:08:42",560066,12.9744,77.7152
19.5745,67,13,1.28,NULL,NULL,18.7,54,"Aug 03, 2019 6:50:31",560066,12.9558,77.7409
19.5745,67,13,1.28,NULL,NULL,18.7,56,"Aug 03, 2019 6:50:31",560066,12.965,77.7595
19.5745,67,13,1.28,NULL,NULL,18.7,56,"Aug 03, 2019 6:50:31",560066,12.9698,77.7499
19.5745,67,13,1.28,NULL,NULL,18.7,53,"Aug 03, 2019 6:50:31",560066,12.9744,77.7152
7.98404,NULL,22.61,0.5778400106,1.988549618,NULL,17.73,76,"Aug 03, 2019 2:45:47",560066,12.9558,77.7409
7.98404,NULL,22.61,0.5635987532,1.988549618,NULL,17.73,75,"Aug 03, 2019 2:45:47",560066,12.965,77.7595
7.98404,NULL,22.61,0.5674177378,1.988549618,NULL,17.73,77,"Aug 03, 2019 2:45:47",560066,12.9698,77.7499
7.98404,NULL,22.61,0.5833811693,1.988549618,NULL,17.73,78,"Aug 03, 2019 2:45:47",560066,12.9744,77.7152
8.43319,NULL,20.15,0.8840545722,2.018614201,14.015,13.48176072,69,"Aug 02, 2019 23:22:09",560066,12.9558,77.7409
8.91445,NULL,20.15,0.8527923835,2.005701392,14.015,13.2069936,70,"Aug 02, 2019 23:22:09",560066,12.965,77.7595
8.78539,NULL,20.15,0.8611757596,2.009164136,14.015,13.2806761,70,"Aug 02, 2019 23:22:09",560066,12.9698,77.7499
8.24594,NULL,20.15,0.8962184384,2.023638471,14.015,13.58867039,71,"Aug 02, 2019 23:22:09",560066,12.9744,77.7152
16.3477,75,18.42964239,0.8467824244,1.866298746,14.11,30.78503517,61,"Aug 02, 2019 15:22:09",560066,12.9558,77.7409
16.5576,75,18.4049545,0.8935111215,1.873104145,14.11,30.5445568,60,"Aug 02, 2019 15:22:09",560066,12.965,77.7595
16.5013,75,18.41157489,0.8809801933,1.871279186,14.11,30.6090443,62,"Aug 02, 2019 15:22:09",560066,12.9698,77.7499
16.266,75,18.43924825,0.8286006642,1.86365082,14.11,30.87860337,61,"Aug 02, 2019 15:22:09",560066,12.9744,77.7152
18.4806,99,12.90728141,1.082040791,1.992291867,13.82,36.82307915,69,"Aug 02, 2019 14:56:49",560066,12.9558,77.7409
18.901,99,13.94691606,1.141108863,2.055459931,13.82,37.02286821,70,"Aug 02, 2019 14:56:49",560066,12.965,77.7595
18.7883,99,13.66812405,1.125268966,2.038520566,13.82,36.96929209,72,"Aug 02, 2019 14:56:49",560066,12.9698,77.7499
18.317,99,12.50276793,1.059057879,1.967713682,13.82,36.74534283,69,"Aug 02, 2019 14:56:49",560066,12.9744,77.7152
10.6794,80,20.48579636,1.00821801,1.98032567,14.11,16.26456989,69,"Aug 02, 2019 8:53:29",560066,12.9558,77.7409
11.6001,80,20.63026626,1.016365015,1.998124406,14.11,16.60562857,72,"Aug 02, 2019 8:53:29",560066,12.965,77.7595
11.3532,80,20.59152471,1.014180286,1.993351436,14.11,16.5141691,71,"Aug 02, 2019 8:53:29",560066,12.9698,77.7499
10.3212,80,20.42958429,1.005048076,1.973400325,14.11,16.1318667,70,"Aug 02, 2019 8:53:29",560066,12.9744,77.7152
