NO2,PM10,PM25,CO,SO2,OZONE,NOX,AQI,updatedAt,postalCode,lat,lng
8.90888,75.40083023,39.20229259,1.726350477,5.152671756,16.59449975,15.22344132,114,"Aug 03, 2019 7:08:42",110003,28.5835,77.2111
13.1383,68,42,0.8,1.297709924,12.7,18.2,116,"Aug 03, 2019 7:08:42",110003,28.5309,77.1963
17.4468,79,39,1.9,5.152671756,6.85,24.8,111,"Aug 03, 2019 7:08:42",110003,28.5869,77.2338
9.46809,69,35,0.9,3.129770992,10.7,13.1,97,"Aug 03, 2019 7:08:42",110003,28.609,77.2361
3.34059,73.05351439,39.3342243,1.613099282,5.152671756,22.94969277,8.977776525,112,"Aug 03, 2019 7:08:42",110003,28.5911,77.2281
9.46809,69,35,0.9,3.129770992,10.7,13.1,98,"Aug 03, 2019 7:08:42",110003,28.6078,77.23
17.4468,79,39,1.9,5.152671756,6.85,24.8,114,"Aug 03, 2019 7:08:42",110003,28.5762,77.2229
9.46809,69,35,0.9,3.129770992,10.7,13.1,98,"Aug 03, 2019 7:08:42",110003,28.609,77.2361
17.4468,79,39,1.9,5.152671756,6.85,24.8,113,"Aug 03, 2019 7:08:42",110003,28.5778,77.2244
9.51082,75.65458154,39.18803041,1.738593243,5.152671756,15.90748588,15.89861488,111,"Aug 03, 2019 7:08:42",110003,28.5893,77.2362
9.81271,70.83000737,31.15848299,1.789647984,5.114503817,9.08809559,17.94251588,87,"Aug 03, 2019 6:50:31",110003,28.5835,77.2111
23.9362,68,42,1,1.641221374,1.55,35.4,113,"Aug 03, 2019 6:50:31",110003,28.5309,77.1963
20.8511,75,35,2,5.114503817,4.15,29.8,97,"Aug 03, 2019 6:50:31",110003,28.5869,77.2338
11.6489,72,42,0.9,3.282442748,11.1,15.8,114,"Aug 03, 2019 6:50:31",110003,28.609,77.2361
2.61368,68.1104108,28.6531125,1.652460063,5.114503817,12.30863553,10.20927124,86,"Aug 03, 2019 6:50:31",110003,28.5911,77.2281
11.6489,72,42,0.9,3.282442748,11.1,15.8,113,"Aug 03, 2019 6:50:31",110003,28.6078,77.23
20.8511,75,35,2,5.114503817,4.15,29.8,96,"Aug 03, 2019 6:50:31",110003,28.5762,77.2229
11.6489,72,42,0.9,3.282442748,11.1,15.8,115,"Aug 03, 2019 6:50:31",110003,28.609,77.2361
20.8511,75,35,2,5.114503817,4.15,29.8,95,"Aug 03, 2019 6:50:31",110003,28.5778,77.2244
10.5909,71.12400324,31.42932044,1.804478376,5.114503817,8.739946354,18.77850092,87,"Aug 03, 2019 6:50:31",110003,28.5893,77.2362
10.4971,51.26683209,24.33304139,1.691036941,4.312977099,4.846511025,17.80257137,78,"Aug 03, 2019 2:45:47",110003,28.5835,77.2111
22.4468,47,24,0.7,2.061068702,1.5,31,80,"Aug 03, 2019 2:45:47",110003,28.5309,77.1963
21.3298,66,25,1.7,4.312977099,2.75,26.8,79,"Aug 03, 2019 2:45:47",110003,28.5869,77.2338
18.5638,72,30,0.9,3.320610687,5.85,25.3,88,"Aug 03, 2019 2:45:47",110003,28.609,77.2361
3.43216,41.65811657,23.8980626,1.685191391,4.312977099,6.213819004,11.93460511,80,"Aug 03, 2019 2:45:47",110003,28.5911,77.2281
18.5638,72,30,0.9,3.320610687,5.85,25.3,88,"Aug 03, 2019 2:45:47",110003,28.6078,77.23
21.3298,66,25,1.7,4.312977099,2.75,26.8,81,"Aug 03, 2019 2:45:47",110003,28.5762,77.2229
18.5638,72,30,0.9,3.320610687,5.85,25.3,85,"Aug 03, 2019 2:45:47",110003,28.609,77.2361
21.3298,66,25,1.7,4.312977099,2.75,26.8,79,"Aug 03, 2019 2:45:47",110003,28.5778,77.2244
11.2608,52.3055607,24.3800638,1.691668862,4.312977099,4.698701268,18.43691468,79,"Aug 03, 2019 2:45:47",110003,28.5893,77.2362
10.7962,59.36221057,28.62608169,1.708311726,4.541984733,1.817180911,17.15767876,85,"Aug 02, 2019 23:22:09",110003,28.5835,77.2111
18.0319,41,22,0.6,1.946564885,0.25,33,74,"Aug 02, 2019 23:22:09",110003,28.5309,77.1963
22.8191,62,23,1.7,4.541984733,1.9,28.1,75,"Aug 02, 2019 23:22:09",110003,28.5869,77.2338
18.883,99,30,0.9,3.511450382,5.1,24.9,87,"Aug 02, 2019 23:22:09",110003,28.609,77.2361
2.9551,57.64189024,32.29531418,1.71373249,4.541984733,1.763167744,10.02128742,89,"Aug 02, 2019 23:22:09",110003,28.5911,77.2281
18.883,99,30,0.9,3.511450382,5.1,24.9,88,"Aug 02, 2019 23:22:09",110003,28.6078,77.23
22.8191,62,23,1.7,4.541984733,1.9,28.1,78,"Aug 02, 2019 23:22:09",110003,28.5762,77.2229
18.883,99,30,0.9,3.511450382,5.1,24.9,86,"Aug 02, 2019 23:22:09",110003,28.609,77.2361
22.8191,62,23,1.7,4.541984733,1.9,28.1,77,"Aug 02, 2019 23:22:09",110003,28.5778,77.2244
11.6439,59.54818193,28.22942755,1.707725727,4.541984733,1.823019883,17.92914232,88,"Aug 02, 2019 23:22:09",110003,28.5893,77.2362
23.1996,102.0455008,26.31332386,1.899267907,5.229007634,8.163951316,42.83763522,81,"Aug 02, 2019 15:22:09",110003,28.5835,77.2111
31.8617,64,28,1.1,2.251908397,23.25,36.8,86,"Aug 02, 2019 15:22:09",110003,28.5309,77.1963
46.2766,101,24,2.2,5.229007634,7.85,59.1,80,"Aug 02, 2019 15:22:09",110003,28.5869,77.2338
8.14911,102.7273583,27.82203339,1.703135673,5.229007634,8.368704897,32.23160414,88,"Aug 02, 2019 15:22:09",110003,28.5911,77.2281
46.2766,101,24,2.2,5.229007634,7.85,59.1,79,"Aug 02, 2019 15:22:09",110003,28.5762,77.2229
46.2766,101,24,2.2,5.229007634,7.85,59.1,77,"Aug 02, 2019 15:22:09",110003,28.5778,77.2244
24.8265,101.9717902,26.1502282,1.920470341,5.229007634,8.14181689,43.98417639,82,"Aug 02, 2019 15:22:09",110003,28.5893,77.2362
17.004,86.08324467,24.73767784,1.738217526,5.534351145,25.4303979,27.62620877,80,"Aug 02, 2019 14:56:49",110003,28.5835,77.2111
36.8617,66,35,0.9,1.755725191,37.95,39,96,"Aug 02, 2019 14:56:49",110003,28.5309,77.1963
30.3191,88,18,1.9,5.534351145,55.5,32.7,63,"Aug 02, 2019 14:56:49",110003,28.5869,77.2338
27.9255,81,24,1.3,3.396946565,1.8,30,80,"Aug 02, 2019 14:56:49",110003,28.609,77.2361
8.32011,84.83317022,29.13187398,1.632705814,5.534351145,5.819527103,24.3171705,83,"Aug 02, 2019 14:56:49",110003,28.5911,77.2281
27.9255,81,24,1.3,3.396946565,1.8,30,78,"Aug 02, 2019 14:56:49",110003,28.6078,77.23
30.3191,88,18,1.9,5.534351145,55.5,32.7,64,"Aug 02, 2019 14:56:49",110003,28.5762,77.2229
27.9255,81,24,1.3,3.396946565,1.8,30,78,"Aug 02, 2019 14:56:49",110003,28.609,77.2361
30.3191,88,18,1.9,5.534351145,55.5,32.7,65,"Aug 02, 2019 14:56:49",110003,28.5778,77.2244
17.9428,86.21838116,24.26265313,1.749623633,5.534351145,27.55038704,27.98392492,77,"Aug 02, 2019 14:56:49",110003,28.5893,77.2362
8.06478,58.56819539,34.19746829,1.567910441,4.65648855,15.62167211,13.85408431,93,"Aug 02, 2019 8:53:29",110003,28.5835,77.2111
NULL,61,34,0.8,1.984732824,25.4,NULL,97,"Aug 02, 2019 8:53:29",110003,28.5309,77.1963
16.0638,64,29,1.7,4.65648855,15.85,22.6,83,"Aug 02, 2019 8:53:29",110003,28.5869,77.2338
10.7979,70,33,0.9,2.86259542,7.5,13.7,93,"Aug 02, 2019 8:53:29",110003,28.609,77.2361
2.84795,55.02566703,37.5871666,1.481763932,4.65648855,15.47276064,8.150150407,104,"Aug 02, 2019 8:53:29",110003,28.5911,77.2281
10.7979,70,33,0.9,2.86259542,7.5,13.7,91,"Aug 02, 2019 8:53:29",110003,28.6078,77.23
16.0638,64,29,1.7,4.65648855,15.85,22.6,86,"Aug 02, 2019 8:53:29",110003,28.5762,77.2229
10.7979,70,33,0.9,2.86259542,7.5,13.7,94,"Aug 02, 2019 8:53:29",110003,28.609,77.2361
16.0638,64,29,1.7,4.65648855,15.85,22.6,83,"Aug 02, 2019 8:53:29",110003,28.5778,77.2244
8.62874,58.95115247,33.83103257,1.577223116,4.65648855,15.63776985,14.47069527,93,"Aug 02, 2019 8:53:29",110003,28.5893,77.2362
9.19695,46.25721063,24.73875291,1.61222412,4.809160305,22.68002202,15.845013,81,"Aug 02, 2019 9:01:23",110003,28.5835,77.2111
11.2766,66,27,0.5,1.717557252,25.7,14.3,83,"Aug 02, 2019 9:01:23",110003,28.5309,77.1963
16.2234,83,27,1.7,4.809160305,16.4,22.1,83,"Aug 02, 2019 9:01:23",110003,28.5869,77.2338
9.04255,61,33,0.9,3.091603053,5.15,11.3,94,"Aug 02, 2019 9:01:23",110003,28.609,77.2361
4.61442,22.29420331,23.26400695,1.554978219,4.809160305,26.775743,11.76561941,78,"Aug 02, 2019 9:01:23",110003,28.5911,77.2281
9.04255,61,33,0.9,3.091603053,5.15,11.3,94,"Aug 02, 2019 9:01:23",110003,28.6078,77.23
16.2234,83,27,1.7,4.809160305,16.4,22.1,86,"Aug 02, 2019 9:01:23",110003,28.5762,77.2229
9.04255,61,33,0.9,3.091603053,5.15,11.3,91,"Aug 02, 2019 9:01:23",110003,28.609,77.2361
16.2234,83,27,1.7,4.809160305,16.4,22.1,86,"Aug 02, 2019 9:01:23",110003,28.5778,77.2244
9.69234,48.84767771,24.89817701,1.618412559,4.809160305,22.2372633,16.28600668,80,"Aug 02, 2019 9:01:23",110003,28.5893,77.2362
9.29891,60.31120772,23.59798759,1.640170391,4.160305344,22.70434769,14.53757503,80,"Aug 02, 2019 7:22:09",110003,28.5835,77.2111
8.40425,66,27,NULL,1.908396947,28.25,10.4,86,"Aug 02, 2019 7:22:09",110003,28.5309,77.1963
17.0745,72,25,1.8,4.160305344,15.85,20.4,79,"Aug 02, 2019 7:22:09",110003,28.5869,77.2338
16.2766,81,40,1,2.938931298,6.3,18.5,114,"Aug 02, 2019 7:22:09",110003,28.609,77.2361
4.22782,52.68798097,22.68361951,1.535932303,4.160305344,27.17463388,10.71420356,76,"Aug 02, 2019 7:22:09",110003,28.5911,77.2281
16.2766,81,40,1,2.938931298,6.3,18.5,115,"Aug 02, 2019 7:22:09",110003,28.6078,77.23
17.0745,72,25,1.8,4.160305344,15.85,20.4,79,"Aug 02, 2019 7:22:09",110003,28.5762,77.2229
16.2766,81,40,1,2.938931298,6.3,18.5,116,"Aug 02, 2019 7:22:09",110003,28.609,77.2361
17.0745,72,25,1.8,4.160305344,15.85,20.4,79,"Aug 02, 2019 7:22:09",110003,28.5778,77.2244
9.84711,61.13529953,23.6968333,1.651438815,4.160305344,22.22109744,14.95089201,77,"Aug 02, 2019 7:22:09",110003,28.5893,77.2362
11.3817,77.4972268,35.61375435,1.712787325,4.007633588,16.79530917,19.30004857,106,"Aug 02, 2019 5:22:06",110003,28.5835,77.2111
8.7766,62,36,0.7,1.259541985,28.7,11.4,103,"Aug 02, 2019 5:22:06",110003,28.5309,77.1963
22.234,85,33,2,4.007633588,13.1,31.1,92,"Aug 02, 2019 5:22:06",110003,28.5869,77.2338
8.29787,74,29,0.8,3.167938931,10.65,10.9,84,"Aug 02, 2019 5:22:06",110003,28.609,77.2361
4.30398,72.60404879,37.31839942,1.52547222,4.007633588,19.20532546,11.60432575,103,"Aug 02, 2019 5:22:06",110003,28.5911,77.2281
8.29787,74,29,0.8,3.167938931,10.65,10.9,83,"Aug 02, 2019 5:22:06",110003,28.6078,77.23
22.234,85,33,2,4.007633588,13.1,31.1,92,"Aug 02, 2019 5:22:06",110003,28.5762,77.2229
8.29787,74,29,0.8,3.167938931,10.65,10.9,86,"Aug 02, 2019 5:22:06",110003,28.609,77.2361
22.234,85,33,2,4.007633588,13.1,31.1,94,"Aug 02, 2019 5:22:06",110003,28.5778,77.2244
12.1468,78.02619282,35.42947753,1.733036604,4.007633588,16.53477978,20.13197739,96,"Aug 02, 2019 5:22:06",110003,28.5893,77.2362
10.9626,51.86318544,24.20911905,1.655943055,2.290076336,4.84279525,17.73897904,79,"Aug 02, 2019 1:22:19",110003,28.5835,77.2111
14.0957,55,41,0.7,1.946564885,0.25,20.2,113,"Aug 02, 2019 1:22:19",110003,28.5309,77.1963
24.0426,58,29,1.8,2.290076336,2.55,31.5,86,"Aug 02, 2019 1:22:19",110003,28.5869,77.2338
16.4894,61,30,0.8,3.015267176,5.8,19,88,"Aug 02, 2019 1:22:19",110003,28.609,77.2361
2.43207,47.86086187,21.08458994,1.561991624,2.290076336,6.338116381,8.764280831,72,"Aug 02, 2019 1:22:19",110003,28.5911,77.2281
16.4894,61,30,0.8,3.015267176,5.8,19,86,"Aug 02, 2019 1:22:19",110003,28.6078,77.23
24.0426,58,29,1.8,2.290076336,2.55,31.5,86,"Aug 02, 2019 1:22:19",110003,28.5762,77.2229
16.4894,61,30,0.8,3.015267176,5.8,19,85,"Aug 02, 2019 1:22:19",110003,28.609,77.2361
24.0426,58,29,1.8,2.290076336,2.55,31.5,86,"Aug 02, 2019 1:22:19",110003,28.5778,77.2244
11.8848,52.29584764,24.54688926,1.666099463,2.290076336,4.681146918,18.70916863,79,"Aug 02, 2019 1:22:19",110003,28.5893,77.2362
3.07602,63.1656181,32.03210185,1.586500049,NULL,6.525323845,8.677416801,89,"Aug 01, 2019 22:51:52",110003,28.5835,77.2111
NULL,57,24,NULL,NULL,2.2,NULL,76,"Aug 01, 2019 22:51:52",110003,28.5309,77.1963
NULL,69,25,NULL,NULL,6.3,NULL,78,"Aug 01, 2019 22:51:52",110003,28.5869,77.2338
NULL,58,23,NULL,NULL,21.2,NULL,74,"Aug 01, 2019 22:51:52",110003,28.609,77.2361
3.07602,59.36053583,36.61831621,1.586500049,NULL,6.672276132,8.677416801,102,"Aug 01, 2019 22:51:52",110003,28.5911,77.2281
NULL,58,23,NULL,NULL,21.2,NULL,74,"Aug 01, 2019 22:51:52",110003,28.6078,77.23
NULL,69,25,NULL,NULL,6.3,NULL,78,"Aug 01, 2019 22:51:52",110003,28.5762,77.2229
NULL,58,23,NULL,NULL,21.2,NULL,74,"Aug 01, 2019 22:51:52",110003,28.609,77.2361
NULL,69,25,NULL,NULL,6.3,NULL,78,"Aug 01, 2019 22:51:52",110003,28.5778,77.2244
3.07602,63.57695797,31.53631945,1.586500049,NULL,6.509437898,8.677416801,90,"Aug 01, 2019 22:51:52",110003,28.5893,77.2362
10.4487,82.00656678,36.24059559,1.636759168,6.030534351,4.634213735,15.52732413,105,"Aug 01, 2019 22:22:24",110003,28.5835,77.2111
12.9787,47,29,0.6,2.519083969,2.9,16.8,84,"Aug 01, 2019 22:22:24",110003,28.5309,77.1963
23.4043,83,40,1.7,6.030534351,2.05,28.7,115,"Aug 01, 2019 22:22:24",110003,28.5869,77.2338
20.6383,78,34,1,3.511450382,6.1,26.2,93,"Aug 01, 2019 22:22:24",110003,28.609,77.2361
1.99927,81.35866694,33.78877751,1.595514598,6.030534351,6.319592926,6.936334334,96,"Aug 01, 2019 22:22:24",110003,28.5911,77.2281
20.6383,78,34,1,3.511450382,6.1,26.2,96,"Aug 01, 2019 22:22:24",110003,28.6078,77.23
23.4043,83,40,1.7,6.030534351,2.05,28.7,115,"Aug 01, 2019 22:22:24",110003,28.5762,77.2229
20.6383,78,34,1,3.511450382,6.1,26.2,93,"Aug 01, 2019 22:22:24",110003,28.609,77.2361
23.4043,83,40,1.7,6.030534351,2.05,28.7,114,"Aug 01, 2019 22:22:24",110003,28.5778,77.2244
11.3621,82.07660654,36.50564388,1.641217819,6.030534351,4.452019603,16.45603378,102,"Aug 01, 2019 22:22:24",110003,28.5893,77.2362
10.4545,64.33391722,21.68154205,1.632703348,5.458015267,9.559165001,16.57380763,75,"Aug 01, 2019 20:52:34",110003,28.5835,77.2111
23.1383,48,28,0.7,2.404580153,NULL,30.6,87,"Aug 01, 2019 20:52:34",110003,28.5309,77.1963
21.0638,63,22,1.7,5.458015267,NULL,26.8,73,"Aug 01, 2019 20:52:34",110003,28.5869,77.2338
25.3723,70,36,1,3.396946565,NULL,34.3,103,"Aug 01, 2019 20:52:34",110003,28.609,77.2361
3.53531,65.20387479,21.47384932,1.588813644,5.458015267,9.559165001,9.904463068,74,"Aug 01, 2019 20:52:34",110003,28.5911,77.2281
25.3723,70,36,1,3.396946565,NULL,34.3,104,"Aug 01, 2019 20:52:34",110003,28.6078,77.23
21.0638,63,22,1.7,5.458015267,NULL,26.8,73,"Aug 01, 2019 20:52:34",110003,28.5762,77.2229
25.3723,70,36,1,3.396946565,NULL,34.3,103,"Aug 01, 2019 20:52:34",110003,28.609,77.2361
21.0638,63,22,1.7,5.458015267,NULL,26.8,74,"Aug 01, 2019 20:52:34",110003,28.5778,77.2244
11.2025,64.23987241,21.7039942,1.637447946,5.458015267,9.559165001,17.29478215,76,"Aug 01, 2019 20:52:34",110003,28.5893,77.2362
15.2041,71.221189,26.99549007,1.746241755,5.763358779,16.03546728,20.77847721,86,"Aug 01, 2019 16:50:33",110003,28.5835,77.2111
21.383,45,23,0.6,1.832061069,16,22.9,77,"Aug 01, 2019 16:50:33",110003,28.5309,77.1963
33.1383,69,19,2.1,5.763358779,8.75,39.9,68,"Aug 01, 2019 16:50:33",110003,28.5869,77.2338
19.2553,61,22,1.1,3.702290076,6.2,20.9,75,"Aug 01, 2019 16:50:33",110003,28.609,77.2361
3.50777,72.66980978,32.21000945,1.515526789,5.763358779,20.78692215,8.307753065,91,"Aug 01, 2019 16:50:33",110003,28.5911,77.2281
19.2553,61,22,1.1,3.702290076,6.2,20.9,75,"Aug 01, 2019 16:50:33",110003,28.6078,77.23
33.1383,69,19,2.1,5.763358779,8.75,39.9,68,"Aug 01, 2019 16:50:33",110003,28.5762,77.2229
19.2553,61,22,1.1,3.702290076,6.2,20.9,73,"Aug 01, 2019 16:50:33",110003,28.609,77.2361
33.1383,69,19,2.1,5.763358779,8.75,39.9,68,"Aug 01, 2019 16:50:33",110003,28.5778,77.2244
16.4685,71.0645891,26.43178617,1.771182678,5.763358779,15.52182192,22.12659683,84,"Aug 01, 2019 16:50:33",110003,28.5893,77.2362
19.5247,50.28787636,27.08643588,1.790711787,5.496183206,6.424311769,29.54861497,86,"Aug 01, 2019 15:22:14",110003,28.5835,77.2111
19.4681,53,31,0.9,1.679389313,16.55,21.3,87,"Aug 01, 2019 15:22:14",110003,28.5309,77.1963
39.734,81,24,2.2,5.496183206,7.6,50,80,"Aug 01, 2019 15:22:14",110003,28.5869,77.2338
21.7553,97,28,1.2,3.625954198,7.35,23.5,85,"Aug 01, 2019 15:22:14",110003,28.609,77.2361
6.3445,30.25796419,29.09935561,1.523781142,5.496183206,5.65754838,16.21057783,83,"Aug 01, 2019 15:22:14",110003,28.5911,77.2281
21.7553,97,28,1.2,3.625954198,7.35,23.5,86,"Aug 01, 2019 15:22:14",110003,28.6078,77.23
39.734,81,24,2.2,5.496183206,7.6,50,78,"Aug 01, 2019 15:22:14",110003,28.5762,77.2229
21.7553,97,28,1.2,3.625954198,7.35,23.5,87,"Aug 01, 2019 15:22:14",110003,28.609,77.2361
39.734,81,24,2.2,5.496183206,7.6,50,79,"Aug 01, 2019 15:22:14",110003,28.5778,77.2244
20.9495,52.45316502,26.86883372,1.819567724,5.496183206,6.507201002,30.99049351,83,"Aug 01, 2019 15:22:14",110003,28.5893,77.2362
9.29491,55.04807016,21.38430162,1.577524202,5.229007634,25.39879775,14.55758512,72,"Aug 01, 2019 10:22:16",110003,28.5835,77.2111
8.40425,57,34,0.5,2.557251908,37.8,10.5,95,"Aug 01, 2019 10:22:16",110003,28.5309,77.1963
20.3191,55,17,1.7,5.229007634,23.8,25.6,57,"Aug 01, 2019 10:22:16",110003,28.5869,77.2338
8.35106,51,19,0.8,3.129770992,9.85,9.6,68,"Aug 01, 2019 10:22:16",110003,28.609,77.2361
2.10509,55.07942069,24.24366678,1.497647619,5.229007634,26.4415058,7.355914445,80,"Aug 01, 2019 10:22:16",110003,28.5911,77.2281
8.35106,51,19,0.8,3.129770992,9.85,9.6,69,"Aug 01, 2019 10:22:16",110003,28.6078,77.23
20.3191,55,17,1.7,5.229007634,23.8,25.6,60,"Aug 01, 2019 10:22:16",110003,28.5762,77.2229
8.35106,51,19,0.8,3.129770992,9.85,9.6,67,"Aug 01, 2019 10:22:16",110003,28.609,77.2361
20.3191,55,17,1.7,5.229007634,23.8,25.6,60,"Aug 01, 2019 10:22:16",110003,28.5778,77.2244
10.0721,55.04468108,21.07519637,1.58615908,5.229007634,25.28607814,15.33610555,71,"Aug 01, 2019 10:22:16",110003,28.5893,77.2362
9.06532,83.29792044,35.07529417,1.628153137,4.847328244,24.79969545,14.29269059,97,"Aug 01, 2019 9:27:47",110003,28.5835,77.2111
8.61702,57,31,0.4,1.183206107,28.6,10.8,87,"Aug 01, 2019 9:27:47",110003,28.5309,77.1963
18.617,75,30,1.8,4.847328244,18.4,23.8,87,"Aug 01, 2019 9:27:47",110003,28.5869,77.2338
11.117,70,30,0.8,3.549618321,7.25,13.7,86,"Aug 01, 2019 9:27:47",110003,28.609,77.2361
2.83587,88.70967963,38.38531263,1.516077605,4.847328244,28.97346537,8.092188968,105,"Aug 01, 2019 9:27:47",110003,28.5911,77.2281
11.117,70,30,0.8,3.549618321,7.25,13.7,88,"Aug 01, 2019 9:27:47",110003,28.6078,77.23
18.617,75,30,1.8,4.847328244,18.4,23.8,85,"Aug 01, 2019 9:27:47",110003,28.5762,77.2229
11.117,70,30,0.8,3.549618321,7.25,13.7,87,"Aug 01, 2019 9:27:47",110003,28.609,77.2361
18.617,75,30,1.8,4.847328244,18.4,23.8,88,"Aug 01, 2019 9:27:47",110003,28.5778,77.2244
9.73874,82.71289437,34.71747205,1.64026881,4.847328244,24.34849943,14.96298189,98,"Aug 01, 2019 9:27:47",110003,28.5893,77.2362
10.3076,46.36886492,26.97402204,1.716936775,3.816793893,16.55772684,18.67768608,86,"Aug 01, 2019 5:22:02",110003,28.5835,77.2111
12.0745,62,29,0.6,0.7633587786,22.45,15.1,84,"Aug 01, 2019 5:22:02",110003,28.5309,77.1963
22.1277,75,20,1.9,3.816793893,16.4,34,70,"Aug 01, 2019 5:22:02",110003,28.5869,77.2338
10.4787,70,29,0.9,3.702290076,9.3,13.8,83,"Aug 01, 2019 5:22:02",110003,28.609,77.2361
2.59871,27.69613725,31.52235776,1.597546128,3.816793893,16.66059354,8.684739795,92,"Aug 01, 2019 5:22:02",110003,28.5911,77.2281
10.4787,70,29,0.9,3.702290076,9.3,13.8,85,"Aug 01, 2019 5:22:02",110003,28.6078,77.23
22.1277,75,20,1.9,3.816793893,16.4,34,69,"Aug 01, 2019 5:22:02",110003,28.5762,77.2229
10.4787,70,29,0.9,3.702290076,9.3,13.8,84,"Aug 01, 2019 5:22:02",110003,28.609,77.2361
22.1277,75,20,1.9,3.816793893,16.4,34,72,"Aug 01, 2019 5:22:02",110003,28.5778,77.2244
11.1409,48.38743819,26.48233442,1.729843233,3.816793893,16.54660667,19.75795109,84,"Aug 01, 2019 5:22:02",110003,28.5893,77.2362
11.2515,57.24110578,26.59911392,1.628947938,4.580152672,5.054492962,18.37043704,85,"Aug 01, 2019 0:51:28",110003,28.5835,77.2111
17.8723,67,33,0.7,1.832061069,2.05,26.3,91,"Aug 01, 2019 0:51:28",110003,28.5309,77.1963
24.1489,69,30,1.7,4.580152672,2.45,29.9,87,"Aug 01, 2019 0:51:28",110003,28.5869,77.2338
21.383,80,22,0.9,3.854961832,5.15,39.5,73,"Aug 01, 2019 0:51:28",110003,28.609,77.2361
2.8401,49.57215977,24.38111525,1.582609021,4.580152672,6.753097912,10.85105688,79,"Aug 01, 2019 0:51:28",110003,28.5911,77.2281
21.383,80,22,0.9,3.854961832,5.15,39.5,75,"Aug 01, 2019 0:51:28",110003,28.6078,77.23
24.1489,69,30,1.7,4.580152672,2.45,29.9,87,"Aug 01, 2019 0:51:28",110003,28.5762,77.2229
21.383,80,22,0.9,3.854961832,5.15,39.5,75,"Aug 01, 2019 0:51:28",110003,28.609,77.2361
24.1489,69,30,1.7,4.580152672,2.45,29.9,85,"Aug 01, 2019 0:51:28",110003,28.5778,77.2244
12.1609,58.07013997,26.83888569,1.633957303,4.580152672,4.870869089,19.18330274,85,"Aug 01, 2019 0:51:28",110003,28.5893,77.2362
13.1491,62.11749209,12.88809406,1.713425845,5.34351145,6.345796728,20.42051633,57,"Jul 31, 2019 21:04:43",110003,28.5835,77.2111
25.266,61,22,0.8,1.374045802,3.85,29.1,74,"Jul 31, 2019 21:04:43",110003,28.5309,77.1963
28.1383,75,17,1.8,5.34351145,4.4,36,58,"Jul 31, 2019 21:04:43",110003,28.5869,77.2338
28.1915,78,28,1,3.854961832,9.75,35.2,85,"Jul 31, 2019 21:04:43",110003,28.609,77.2361
3.37341,53.71574479,10.20638061,1.656963689,5.34351145,7.614811467,10.25984841,53,"Jul 31, 2019 21:04:43",110003,28.5911,77.2281
28.1915,78,28,1,3.854961832,9.75,35.2,86,"Jul 31, 2019 21:04:43",110003,28.6078,77.23
28.1383,75,17,1.8,5.34351145,4.4,36,57,"Jul 31, 2019 21:04:43",110003,28.5762,77.2229
28.1915,78,28,1,3.854961832,9.75,35.2,85,"Jul 31, 2019 21:04:43",110003,28.609,77.2361
28.1383,75,17,1.8,5.34351145,4.4,36,58,"Jul 31, 2019 21:04:43",110003,28.5778,77.2244
14.2059,63.02574411,13.17799466,1.71952956,5.34351145,6.208612741,21.51891251,53,"Jul 31, 2019 21:04:43",110003,28.5893,77.2362
20.3137,73.74058296,18.32528384,1.870633334,5.648854962,7.331220862,35.18129084,61,"Jul 31, 2019 16:03:59",110003,28.5835,77.2111
34.8936,61,19,1.5,1.79389313,4.6,65,68,"Jul 31, 2019 16:03:59",110003,28.5309,77.1963
42.0745,97,23,2.3,5.648854962,3.35,66.3,77,"Jul 31, 2019 16:03:59",110003,28.5869,77.2338
33.883,79,28,1.2,4.007633588,8.2,40.8,86,"Jul 31, 2019 16:03:59",110003,28.609,77.2361
6.12168,58.57119625,15.27651537,1.590607872,5.648854962,9.927703771,14.88621069,56,"Jul 31, 2019 16:03:59",110003,28.5911,77.2281
33.883,79,28,1.2,4.007633588,8.2,40.8,86,"Jul 31, 2019 16:03:59",110003,28.6078,77.23
42.0745,97,23,2.3,5.648854962,3.35,66.3,78,"Jul 31, 2019 16:03:59",110003,28.5762,77.2229
33.883,79,28,1.2,4.007633588,8.2,40.8,88,"Jul 31, 2019 16:03:59",110003,28.609,77.2361
42.0745,97,23,2.3,5.648854962,3.35,66.3,76,"Jul 31, 2019 16:03:59",110003,28.5778,77.2244
21.8479,75.38043544,18.6548641,1.900904857,5.648854962,7.050533909,37.37524489,67,"Jul 31, 2019 16:03:59",110003,28.5893,77.2362
17.2641,75.57606864,31.69310868,1.687851515,5.916030534,12.0714478,26.03794264,89,"Jul 31, 2019 13:33:52",110003,28.5835,77.2111
24.8404,52,28,0.8,1.335877863,20,29.1,88,"Jul 31, 2019 13:33:52",110003,28.5309,77.1963
36.117,63,17,2,5.916030534,13.5,48.7,57,"Jul 31, 2019 13:33:52",110003,28.5869,77.2338
16.7553,59,24,0.9,3.396946565,11.25,18.8,78,"Jul 31, 2019 13:33:52",110003,28.609,77.2361
