NO2,PM10,PM25,CO,SO2,OZONE,NOX,AQI,updatedAt,postalCode,lat,lng
13.9642,110,22.8854457,0.8567839681,1.654895996,14.8,18.92793423,80,"Aug 03, 2019 7:08:42",560008,12.9673,77.6433
19.5745,67,13,1.28,NULL,NULL,18.7,53,"Aug 03, 2019 6:50:31",560008,12.9673,77.6433
7.98404,NULL,22.61,0.4994827147,1.988549618,NULL,17.73,75,"Aug 03, 2019 2:45:47",560008,12.9673,77.6433
11.0811,NULL,20.15,0.7120458436,1.947566207,14.015,11.96995543,72,"Aug 02, 2019 23:22:09",560008,12.9673,77.6433
17.5024,75,18.29380631,1.103889943,1.903742959,14.11,29.4618911,59,"Aug 02, 2019 15:22:09",560008,12.9673,77.6433
20.794,99,18.62748979,1.407041196,2.339850971,13.82,37.92234522,69,"Aug 02, 2019 14:56:49",560008,12.9673,77.6433
15.7452,80,21.28068899,1.053043917,2.078256688,14.11,18.14112022,72,"Aug 02, 2019 8:53:29",560008,12.9673,77.6433
19.2214,78,18.394947,1.119190605,2.013880129,14.11,34.29502648,61,"Aug 02, 2019 9:01:23",560008,12.9673,77.6433
15.781,92,17.14690316,0.9335962182,2.142920588,14.11,19.90507589,65,"Aug 02, 2019 7:22:09",560008,12.9673,77.6433
14.5233,83,17.1100831,1.033959974,2.302684354,13.525,21.96509636,63,"Aug 02, 2019 5:22:06",560008,12.9673,77.6433
14.8524,39,20.96429775,0.8740821247,2.576738616,13.23,22.42247048,73,"Aug 02, 2019 1:22:19",560008,12.9673,77.6433
10.6593,42,12.2929848,0.544728294,1.947640227,13.035,10.19322452,51,"Aug 01, 2019 22:51:52",560008,12.9673,77.6433
11.1923,30,18.29939532,0.6585189827,1.608996085,13.23,11.49565405,59,"Aug 01, 2019 22:22:24",560008,12.9673,77.6433
5.12766,NULL,17.07,1.0661,1.820610687,NULL,10.97,58,"Aug 01, 2019 20:52:34",560008,12.9673,77.6433
19.5675,78,14.39830041,6.211352677,1.050948361,14.11,30.50354733,64,"Aug 01, 2019 16:50:33",560008,12.9673,77.6433
19.7815,79,25.06849555,1.00082367,1.355577891,14.11,30.42475186,79,"Aug 01, 2019 15:22:13",560008,12.9673,77.6433
6.01064,NULL,7.6,1.0285,0.965648855,NULL,15.41,29,"Aug 01, 2019 10:22:16",560008,12.9673,77.6433
2.60638,45,8,0.21,0.572519084,20.875,3.1,46,"Aug 01, 2019 10:22:16",560008,12.9755,77.6234
7.50532,NULL,20.93,0.7909,2.209923664,NULL,17.32,72,"Aug 01, 2019 9:27:47",560008,12.9673,77.6433
2.92553,43,13,0.37,0.4580152672,18.52,3.2,51,"Aug 01, 2019 9:27:47",560008,12.9755,77.6234
14.7054,100,19.59417128,0.7909,2.211663795,14.505,21.04937847,72,"Aug 01, 2019 5:22:02",560008,12.9673,77.6433
2.81915,38,14,0.47,0.6106870229,18.52,3.8,53,"Aug 01, 2019 5:22:02",560008,12.9755,77.6234
