NO2,PM10,PM25,CO,SO2,OZONE,NOX,AQI,updatedAt,postalCode,lat,lng
20.266,78,39,1.4,5.572519084,2.65,28.6,112,"Aug 03, 2019 7:08:42",110021,28.5939,77.1887
20.266,78,39,1.4,5.572519084,2.65,28.6,112,"Aug 03, 2019 7:08:42",110021,28.5767,77.1615
6.67944,92,54.60645166,1.570584101,3.152627133,3.292638884,13.92264922,147,"Aug 03, 2019 7:08:42",110021,28.5929,77.0346
20.266,78,39,1.4,5.572519084,2.65,28.6,114,"Aug 03, 2019 7:08:42",110021,28.582,77.1717
20.266,78,39,1.4,5.572519084,2.65,28.6,113,"Aug 03, 2019 7:08:42",110021,28.5834,77.1665
20.266,78,39,1.4,5.572519084,2.65,28.6,113,"Aug 03, 2019 7:08:42",110021,28.5789,77.1651
21.8617,105,56,1.4,7.022900763,3.5,32.1,148,"Aug 03, 2019 6:50:31",110021,28.5939,77.1887
21.8617,105,56,1.4,7.022900763,3.5,32.1,147,"Aug 03, 2019 6:50:31",110021,28.5767,77.1615
8.45181,147,59.26259355,1.759739866,3.169287946,2.994354794,19.56822127,149,"Aug 03, 2019 6:50:31",110021,28.5929,77.0346
21.8617,105,56,1.4,7.022900763,3.5,32.1,149,"Aug 03, 2019 6:50:31",110021,28.582,77.1717
21.8617,105,56,1.4,7.022900763,3.5,32.1,148,"Aug 03, 2019 6:50:31",110021,28.5834,77.1665
21.8617,105,56,1.4,7.022900763,3.5,32.1,147,"Aug 03, 2019 6:50:31",110021,28.5789,77.1651
18.1383,92,40,0.9,5.381679389,28.55,32.4,116,"Aug 03, 2019 2:45:47",110021,28.5939,77.1887
18.1383,92,40,0.9,5.381679389,28.55,32.4,116,"Aug 03, 2019 2:45:47",110021,28.5767,77.1615
15.2359,57,40.10748161,0.7031002028,4.70610687,0.7154769953,41.73383704,113,"Aug 03, 2019 2:45:47",110021,28.5929,77.0346
18.1383,92,40,0.9,5.381679389,28.55,32.4,116,"Aug 03, 2019 2:45:47",110021,28.582,77.1717
18.1383,92,40,0.9,5.381679389,28.55,32.4,116,"Aug 03, 2019 2:45:47",110021,28.5834,77.1665
18.1383,92,40,0.9,5.381679389,28.55,32.4,114,"Aug 03, 2019 2:45:47",110021,28.5789,77.1651
16.383,63,23,0.9,5.419847328,10.2,32.5,77,"Aug 02, 2019 23:22:09",110021,28.5939,77.1887
16.383,63,23,0.9,5.419847328,10.2,32.5,78,"Aug 02, 2019 23:22:09",110021,28.5767,77.1615
7.81103,90,43.89059689,0.6559080288,4.211663206,1.180130433,19.0672613,124,"Aug 02, 2019 23:22:09",110021,28.5929,77.0346
16.383,63,23,0.9,5.419847328,10.2,32.5,76,"Aug 02, 2019 23:22:09",110021,28.582,77.1717
16.383,63,23,0.9,5.419847328,10.2,32.5,77,"Aug 02, 2019 23:22:09",110021,28.5834,77.1665
16.383,63,23,0.9,5.419847328,10.2,32.5,76,"Aug 02, 2019 23:22:09",110021,28.5789,77.1651
27.5,96,39,1.8,5.992366412,3.45,49.4,114,"Aug 02, 2019 15:22:09",110021,28.5939,77.1887
27.5,96,39,1.8,5.992366412,3.45,49.4,113,"Aug 02, 2019 15:22:09",110021,28.5767,77.1615
12.1042,153,78.46757068,1.325482451,2.924706543,1.873438581,15.5789971,162,"Aug 02, 2019 15:22:09",110021,28.5929,77.0346
27.5,96,39,1.8,5.992366412,3.45,49.4,112,"Aug 02, 2019 15:22:09",110021,28.582,77.1717
27.5,96,39,1.8,5.992366412,3.45,49.4,113,"Aug 02, 2019 15:22:09",110021,28.5834,77.1665
27.5,96,39,1.8,5.992366412,3.45,49.4,111,"Aug 02, 2019 15:22:09",110021,28.5789,77.1651
28.1383,89,35,1.8,5.229007634,2.95,45,95,"Aug 02, 2019 14:56:49",110021,28.5939,77.1887
28.1383,89,35,1.8,5.229007634,2.95,45,97,"Aug 02, 2019 14:56:49",110021,28.5767,77.1615
11.7615,161,107.4290675,1.401054504,2.262177178,5.933493459,15.45106296,180,"Aug 02, 2019 14:56:49",110021,28.5929,77.0346
28.1383,89,35,1.8,5.229007634,2.95,45,98,"Aug 02, 2019 14:56:49",110021,28.582,77.1717
28.1383,89,35,1.8,5.229007634,2.95,45,98,"Aug 02, 2019 14:56:49",110021,28.5834,77.1665
28.1383,89,35,1.8,5.229007634,2.95,45,95,"Aug 02, 2019 14:56:49",110021,28.5789,77.1651
19.2021,122,53,1.2,5.267175573,9.55,19.6,147,"Aug 02, 2019 8:53:29",110021,28.5939,77.1887
19.2021,122,53,1.2,5.267175573,9.55,19.6,145,"Aug 02, 2019 8:53:29",110021,28.5767,77.1615
6.65235,112,42.78469479,0.5551870204,1.45023749,14.23891518,8.419835367,118,"Aug 02, 2019 8:53:29",110021,28.5929,77.0346
19.2021,122,53,1.2,5.267175573,9.55,19.6,146,"Aug 02, 2019 8:53:29",110021,28.582,77.1717
