NO2,PM10,PM25,CO,SO2,OZONE,NOX,AQI,updatedAt,postalCode,lat,lng
10.6747,110,17.77825484,0.7541731137,1.835251688,14.8,20.25486977,81,"Aug 03, 2019 7:08:42",560037,12.969,77.7209
9.7287,110,16.30942857,0.7246622684,1.887121921,14.8,20.63649597,79,"Aug 03, 2019 7:08:42",560037,12.9584,77.6794
8.75934,110,14.8043929,0.694423924,1.940270855,14.8,21.02752998,82,"Aug 03, 2019 7:08:42",560037,12.9446,77.6837
10.7091,110,17.83165901,0.7552460807,1.83336577,14.8,20.24099446,79,"Aug 03, 2019 7:08:42",560037,12.9772,77.7019
9.74427,110,16.3335988,0.7251478833,1.886268372,14.8,20.63021613,79,"Aug 03, 2019 7:08:42",560037,12.9592,77.6974
19.5745,67,13,1.28,NULL,NULL,18.7,55,"Aug 03, 2019 6:50:31",560037,12.969,77.7209
19.5745,67,13,1.28,NULL,NULL,18.7,54,"Aug 03, 2019 6:50:31",560037,12.9584,77.6794
19.5745,67,13,1.28,NULL,NULL,18.7,53,"Aug 03, 2019 6:50:31",560037,12.9446,77.6837
19.5745,67,13,1.28,NULL,NULL,18.7,53,"Aug 03, 2019 6:50:31",560037,12.9772,77.7019
19.5745,67,13,1.28,NULL,NULL,18.7,54,"Aug 03, 2019 6:50:31",560037,12.9592,77.6974
7.98404,NULL,22.61,0.585060442,1.988549618,NULL,17.73,77,"Aug 03, 2019 2:45:47",560037,12.969,77.7209
7.98404,NULL,22.61,0.609672566,1.988549618,NULL,17.73,78,"Aug 03, 2019 2:45:47",560037,12.9584,77.6794
7.98404,NULL,22.61,0.6348914261,1.988549618,NULL,17.73,76,"Aug 03, 2019 2:45:47",560037,12.9446,77.6837
7.98404,NULL,22.61,0.5841655846,1.988549618,NULL,17.73,75,"Aug 03, 2019 2:45:47",560037,12.9772,77.7019
7.98404,NULL,22.61,0.6092675618,1.988549618,NULL,17.73,75,"Aug 03, 2019 2:45:47",560037,12.9592,77.6974
8.18919,NULL,20.15,0.8999047519,2.025161098,14.015,13.62106984,72,"Aug 02, 2019 23:22:09",560037,12.969,77.7209
7.35747,NULL,20.15,0.9539329073,2.047477361,14.015,14.09592976,72,"Aug 02, 2019 23:22:09",560037,12.9584,77.6794
6.50524,NULL,20.15,1.00929296,2.070343763,14.015,14.58249589,69,"Aug 02, 2019 23:22:09",560037,12.9446,77.6837
8.21943,NULL,20.15,0.8979403749,2.024349715,14.015,13.6038047,69,"Aug 02, 2019 23:22:09",560037,12.9772,77.7019
7.37115,NULL,20.15,0.9530438484,2.047110137,14.015,14.08811572,71,"Aug 02, 2019 23:22:09",560037,12.9592,77.6974
16.2413,75,18.44215935,0.8230906011,1.862848355,14.11,30.90695963,62,"Aug 02, 2019 15:22:09",560037,12.969,77.7209
15.8786,75,18.48482564,0.74233281,1.851087081,14.11,31.32256083,61,"Aug 02, 2019 15:22:09",560037,12.9584,77.6794
15.507,75,18.52854372,0.6595841841,1.839035869,14.11,31.74840739,70,"Aug 02, 2019 15:22:09",560037,12.9446,77.6837
16.2545,75,18.44060808,0.8260268248,1.863275976,14.11,30.89184904,61,"Aug 02, 2019 15:22:09",560037,12.9772,77.7019
15.8846,75,18.48412354,0.7436617177,1.851280618,14.11,31.31572191,60,"Aug 02, 2019 15:22:09",560037,12.9592,77.6974
18.2674,99,12.38017833,1.052092806,1.960265154,13.82,36.72178449,72,"Aug 02, 2019 14:56:49",560037,12.969,77.7209
17.5407,99,10.58345377,0.9500097745,1.851096408,13.82,36.37650365,72,"Aug 02, 2019 14:56:49",560037,12.9584,77.6794
16.7962,99,8.7424365,0.8454102004,1.739236442,13.82,36.02271097,72,"Aug 02, 2019 14:56:49",560037,12.9446,77.6837
18.2938,99,12.44550435,1.055804381,1.964234354,13.82,36.73433835,72,"Aug 02, 2019 14:56:49",560037,12.9772,77.7019
