NO2,PM10,PM25,CO,SO2,OZONE,NOX,AQI,updatedAt,postalCode,lat,lng
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,99,"Aug 03, 2019 7:08:42",560001,12.9797,77.5925
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,100,"Aug 03, 2019 7:08:42",560001,12.9687,77.5875
8.7714,110,14.82311449,0.6948000679,1.93960972,14.8,21.02266579,82,"Aug 03, 2019 7:08:42",560001,12.9288,77.6764
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,99,"Aug 03, 2019 7:08:42",560001,12.978,77.6058
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,98,"Aug 03, 2019 7:08:42",560001,12.9779,77.5926
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,97,"Aug 03, 2019 7:08:42",560001,12.9831,77.5928
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,99,"Aug 03, 2019 7:08:42",560001,12.9779,77.5896
6.7795,105.527508,12,0.6930364576,2.448126621,13.3,14.05278719,80,"Aug 03, 2019 7:08:42",560001,12.9911,77.592
7.51862,121.6560041,12,0.7454718051,2.740676775,13.3,16.15791218,85,"Aug 03, 2019 7:08:42",560001,12.9841,77.5889
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,98,"Aug 03, 2019 7:08:42",560001,12.9812,77.5951
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,99,"Aug 03, 2019 6:50:31",560001,12.9797,77.5925
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,98,"Aug 03, 2019 6:50:31",560001,12.9687,77.5875
19.5745,67,13,1.28,NULL,NULL,18.7,56,"Aug 03, 2019 6:50:31",560001,12.9288,77.6764
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,100,"Aug 03, 2019 6:50:31",560001,12.978,77.6058
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,100,"Aug 03, 2019 6:50:31",560001,12.9779,77.5926
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,97,"Aug 03, 2019 6:50:31",560001,12.9831,77.5928
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,97,"Aug 03, 2019 6:50:31",560001,12.9779,77.5896
6.83909,104.7806637,12,0.7005049012,2.462379376,17.855,14.20215607,78,"Aug 03, 2019 6:50:31",560001,12.9911,77.592
7.5536,121.2176029,12,0.7498558166,2.74904321,17.855,16.24559241,88,"Aug 03, 2019 6:50:31",560001,12.9841,77.5889
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,98,"Aug 03, 2019 6:50:31",560001,12.9812,77.5951
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,98,"Aug 03, 2019 2:45:47",560001,12.9797,77.5925
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,100,"Aug 03, 2019 2:45:47",560001,12.9687,77.5875
7.98404,NULL,22.61,0.6345777212,1.988549618,NULL,17.73,78,"Aug 03, 2019 2:45:47",560001,12.9288,77.6764
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,98,"Aug 03, 2019 2:45:47",560001,12.978,77.6058
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,98,"Aug 03, 2019 2:45:47",560001,12.9779,77.5926
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,98,"Aug 03, 2019 2:45:47",560001,12.9831,77.5928
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,99,"Aug 03, 2019 2:45:47",560001,12.9779,77.5896
8.56915,95.44510908,2,0.6407573519,2.476632131,16.11,19.15,67,"Aug 03, 2019 2:45:47",560001,12.9911,77.592
8.56915,115.7375886,2,0.7147837249,2.757409644,16.11,19.15,78,"Aug 03, 2019 2:45:47",560001,12.9841,77.5889
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,97,"Aug 03, 2019 2:45:47",560001,12.9812,77.5951
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,97,"Aug 02, 2019 23:22:09",560001,12.9797,77.5925
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,99,"Aug 02, 2019 23:22:09",560001,12.9687,77.5875
6.51584,NULL,20.15,1.00860432,2.070059321,14.015,14.57644335,70,"Aug 02, 2019 23:22:09",560001,12.9288,77.6764
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,100,"Aug 02, 2019 23:22:09",560001,12.978,77.6058
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,100,"Aug 02, 2019 23:22:09",560001,12.9779,77.5926
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,100,"Aug 02, 2019 23:22:09",560001,12.9831,77.5928
8.56915,144.58,NULL,0.82,3.15648855,NULL,19.15,97,"Aug 02, 2019 23:22:09",560001,12.9779,77.5896
5.64732,96.56537563,4,0.82,2.419621111,17.835,12.96986286,76,"Aug 02, 2019 23:22:09",560001,12.9911,77.592
6.85402,116.3951903,4,0.82,2.723943907,17.835,15.52223052,77,"Aug 02, 2019 23:22:09",560001,12.9841,77.5889
